K..Mandi,K..Tidur,L..Bangunan,Sertifikat,Tipe.Properti,Kota,Price
0,3,4,294,SHM - Sertifikat Hak Milik,Rumah,Jakarta Utara,3500000000
1,3,3,78,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,2500000000
2,1,1,33,HGB - Hak Guna Bangunan,Apartemen,Jakarta Timur,265000000
3,2,2,120,SHM - Sertifikat Hak Milik,Rumah,Jakarta Pusat,2600000000
4,3,3,130,SHM - Sertifikat Hak Milik,Rumah,Depok,1300000000
5,1,1,97,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,3200000000
6,1,1,23,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,500000000
7,1,2,42,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,757000000
8,4,4,160,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1970000000
9,3,3,85,SHM - Sertifikat Hak Milik,Rumah,Depok,1600000000
10,1,2,40,SHM - Sertifikat Hak Milik,Rumah,Depok,908000000
11,2,2,70,HGB - Hak Guna Bangunan,Apartemen,Jakarta Utara,1150000000
12,3,3,110,SHM - Sertifikat Hak Milik,Rumah,Depok,1350000000
13,1,2,42,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1000000000
14,2,2,77,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,1100000000
15,4,3,185,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,3500000000
16,2,2,50,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1100000000
17,1,2,36,HGB - Hak Guna Bangunan,Apartemen,Jakarta Utara,260000000
18,1,1,44,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1500000000
19,3,4,299,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,3300000000
20,3,4,115,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,2000000000
21,3,3,136,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Jakarta Utara,3100000000
22,1,1,25,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,495000000
23,2,3,122,SHM - Sertifikat Hak Milik,Rumah,Depok,1280000000
24,3,3,130,SHM - Sertifikat Hak Milik,Rumah,Depok,1520000000
25,3,3,115,SHM - Sertifikat Hak Milik,Rumah,Depok,1200000000
26,1,1,21,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,250000000
27,2,3,128,HGB - Hak Guna Bangunan,Apartemen,Tangerang Selatan,3000000000
28,1,1,51,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,1600000000
29,2,3,103,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,2500000000
30,3,3,110,SHM - Sertifikat Hak Milik,Rumah,Depok,1420000000
31,1,1,26,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,505000000
32,3,4,154,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,4500000000
33,1,1,24,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,600000000
34,4,3,205,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,4900000000
35,1,1,33,HGB - Hak Guna Bangunan,Apartemen,Jakarta Timur,1200000000
36,1,1,22,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,325000000
37,2,1,175,SHM - Sertifikat Hak Milik,Rumah,Jakarta Pusat,3500000000
38,3,4,92,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2200000000
39,3,3,120,SHM - Sertifikat Hak Milik,Rumah,Depok,1700000000
40,3,3,240,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Tangerang Selatan,5000000000
41,1,1,72,HGB - Hak Guna Bangunan,Apartemen,Jakarta Utara,1200000000
42,1,1,25,SHM - Sertifikat Hak Milik,Apartemen,Depok,645000000
43,1,1,50,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,980000000
44,1,2,38,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,725000000
45,2,3,170,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,1050000000
46,1,1,36,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,600000000
47,1,2,73,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Pusat,1400000000
48,1,2,56,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,1100000000
49,1,2,36,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,855000000
50,1,2,41,HGB - Hak Guna Bangunan,Rumah,Tangerang Selatan,1300000000
51,1,1,29,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,600000000
52,2,3,75,SHM - Sertifikat Hak Milik,Rumah,Depok,995000000
53,2,3,94,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,1430000000
54,1,1,48,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,1130000000
55,1,2,35,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,460000000
56,2,3,60,SHM - Sertifikat Hak Milik,Rumah,Depok,779000000
57,4,4,160,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1970000000
58,3,4,180,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Jakarta Pusat,3500000000
59,3,3,120,SHM - Sertifikat Hak Milik,Rumah,Depok,1490000000
60,1,2,29,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,500000000
61,3,4,248,HGB - Hak Guna Bangunan,Rumah,Jakarta Pusat,3500000000
62,2,2,64,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,1600000000
63,4,4,240,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,4150000000
64,2,2,107,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,3200000000
65,2,2,91,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,2430000000
