kamar_mandi,kamar_tidur,luas_bangunan,sertifikat,tipe_properti,kota,harga
3,4,294,SHM - Sertifikat Hak Milik,Rumah,Jakarta Utara,3500000000
3,3,78,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,2500000000
1,1,33,HGB - Hak Guna Bangunan,Apartemen,Jakarta Timur,265000000
2,2,120,SHM - Sertifikat Hak Milik,Rumah,Jakarta Pusat,2600000000
3,3,130,SHM - Sertifikat Hak Milik,Rumah,Depok,1300000000
1,1,97,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,3200000000
1,1,23,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,500000000
1,2,42,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,757000000
4,4,160,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1970000000
3,3,85,SHM - Sertifikat Hak Milik,Rumah,Depok,1600000000
1,2,40,SHM - Sertifikat Hak Milik,Rumah,Depok,908000000
2,2,70,HGB - Hak Guna Bangunan,Apartemen,Jakarta Utara,1150000000
3,3,110,SHM - Sertifikat Hak Milik,Rumah,Depok,1350000000
1,2,42,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1000000000
2,2,77,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,1100000000
4,3,185,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,3500000000
2,2,50,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1100000000
1,2,36,HGB - Hak Guna Bangunan,Apartemen,Jakarta Utara,260000000
1,1,44,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1500000000
3,4,299,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,3300000000
3,4,115,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,2000000000
3,3,136,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Jakarta Utara,3100000000
1,1,25,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,495000000
2,3,122,SHM - Sertifikat Hak Milik,Rumah,Depok,1280000000
3,3,130,SHM - Sertifikat Hak Milik,Rumah,Depok,1520000000
3,3,115,SHM - Sertifikat Hak Milik,Rumah,Depok,1200000000
1,1,21,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,250000000
2,3,128,HGB - Hak Guna Bangunan,Apartemen,Tangerang Selatan,3000000000
1,1,51,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,1600000000
2,3,103,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,2500000000
3,3,110,SHM - Sertifikat Hak Milik,Rumah,Depok,1420000000
1,1,26,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,505000000
3,4,154,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,4500000000
1,1,24,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,600000000
4,3,205,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,4900000000
1,1,33,HGB - Hak Guna Bangunan,Apartemen,Jakarta Timur,1200000000
1,1,22,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,325000000
2,1,175,SHM - Sertifikat Hak Milik,Rumah,Jakarta Pusat,3500000000
3,4,92,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2200000000
3,3,120,SHM - Sertifikat Hak Milik,Rumah,Depok,1700000000
3,3,240,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Tangerang Selatan,5000000000
1,1,72,HGB - Hak Guna Bangunan,Apartemen,Jakarta Utara,1200000000
1,1,25,SHM - Sertifikat Hak Milik,Apartemen,Depok,645000000
1,1,50,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,980000000
1,2,38,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,725000000
2,3,170,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,1050000000
1,1,36,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,600000000
1,2,73,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Pusat,1400000000
1,2,56,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,1100000000
1,2,36,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,855000000
1,2,41,HGB - Hak Guna Bangunan,Rumah,Tangerang Selatan,1300000000
1,1,29,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,600000000
